Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core #0 VID [V]","Core #1 VID [V]","Core #2 VID [V]","Core #3 VID [V]","Core #0 Clock [MHz]","Core #1 Clock [MHz]","Core #2 Clock [MHz]","Core #3 Clock [MHz]","Bus Clock [MHz]","Ring/LLC Clock [MHz]","System Agent Clock [MHz]","Core #0 Thread #0 Usage [%]","Core #0 Thread #1 Usage [%]","Core #1 Thread #0 Usage [%]","Core #1 Thread #1 Usage [%]","Core #2 Thread #0 Usage [%]","Core #2 Thread #1 Usage [%]","Core #3 Thread #0 Usage [%]","Core #3 Thread #1 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","On-Demand Clock Modulation [%]","Core #0 Ratio [x]","Core #1 Ratio [x]","Core #2 Ratio [x]","Core #3 Ratio [x]","Uncore Ratio [x]","Core #0 [°C]","Core #1 [°C]","Core #2 [°C]","Core #3 [°C]","Core #0 Distance to TjMAX [°C]","Core #1 Distance to TjMAX [°C]","Core #2 Distance to TjMAX [°C]","Core #3 Distance to TjMAX [°C]","CPU Package [°C]","Core Max [°C]","Core #0 Thermal Throttling [Yes/No]","Core #1 Thermal Throttling [Yes/No]","Core #2 Thermal Throttling [Yes/No]","Core #3 Thermal Throttling [Yes/No]","Core #0 Critical Temperature [Yes/No]","Core #1 Critical Temperature [Yes/No]","Core #2 Critical Temperature [Yes/No]","Core #3 Critical Temperature [Yes/No]","Core #0 Power Limit Exceeded [Yes/No]","Core #1 Power Limit Exceeded [Yes/No]","Core #2 Power Limit Exceeded [Yes/No]","Core #3 Power Limit Exceeded [Yes/No]","Package/Ring Thermal Throttling [Yes/No]","Package/Ring Critical Temperature [Yes/No]","Package/Ring Power Limit Exceeded [Yes/No]","CPU Package [°C]","CPU IA Cores [°C]","CPU GT Cores (Graphics) [°C]","CPU Package Power [W]","IA Cores Power [W]","Total DRAM Power [W]","GPU D3D Usage [%]","GPU GT Usage [%]","GPU Media Engine Usage [%]","GPU Video Decode 0 Usage [%]","GPU Video Decode 1 Usage [%]","GPU Video Processing 0 Usage [%]","GPU Video Processing 1 Usage [%]","GPU D3D Memory Dynamic [MB]","Core #0 Thread 0 C0 Residency [%]","Core #0 Thread 1 C0 Residency [%]","Core #1 Thread 0 C0 Residency [%]","Core #1 Thread 1 C0 Residency [%]","Core #2 Thread 0 C0 Residency [%]","Core #2 Thread 1 C0 Residency [%]","Core #3 Thread 0 C0 Residency [%]","Core #3 Thread 1 C0 Residency [%]","Core #0 C3 Residency [%]","Core #1 C3 Residency [%]","Core #2 C3 Residency [%]","Core #3 C3 Residency [%]","Core #0 C7 Residency [%]","Core #1 C7 Residency [%]","Core #2 C7 Residency [%]","Core #3 C7 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trfc [T]","Command Rate [T]","IA: PROCHOT [Yes/No]","IA: Thermal Event [Yes/No]","IA: DDR RAPL [Yes/No]","IA: PCS (PECI) [Yes/No]","IA: Residency State Regulation [Yes/No]","IA: Running Average Thermal Limit [Yes/No]","IA: VR Thermal Alert [Yes/No]","IA: VR TDC [Yes/No]","IA: Electrical Design Point/Other (ICCmax,PL4,SVID,DDR RAPL) [Yes/No]","IA: Package-Level RAPL/PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","IA: Max Turbo Limit [Yes/No]","IA: Turbo Attenuation (MCT) [Yes/No]","GT: Thermal Event [Yes/No]","GT: DDR RAPL [Yes/No]","GT: Residency State Regulation [Yes/No]","GT: Running Average Thermal Limit [Yes/No]","GT: VR Thermal Alert [Yes/No]","GT: VR TDC [Yes/No]","GT: Max VR Voltage, ICCmax, PL4 [Yes/No]","GT: Domain-Level PBM PLGT [Yes/No]","GT: Package-Level RAPL/PBM PL1 [Yes/No]","GT: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","GT: Inefficient Operation [Yes/No]","GT: Fuses limit [Yes/No]","RING: Residency State Regulation [Yes/No]","RING: VR Thermal Alert [Yes/No]","RING: VR TDC [Yes/No]","RING: Max VR Voltage, ICCmax, PL4 [Yes/No]","RING: Package-Level RAPL/PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","T1 [°C]","T2 [°C]","PCH [°C]","Temp4 [°C]","Temp5 [°C]","Motherboard [°C]","CPU (PECI) [°C]","CPU [°C]","Vcore [V]","+5V [V]","AVSB [V]","3VCC [V]","+12V [V]","3VSB_ATX [V]","BAT_3V [V]","VTT [V]","DRAM [V]","VCCSA [V]","PCH Core/VCCPRIM_1.0 [V]","CPU PLLs OC [V]","CPU VCCIO/IMC [V]","Chassis1 [RPM]","CPU [RPM]","Drive Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Drive Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Drive Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Drive Temperature [°C]","Drive Temperature 2 [°C]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Temperature [°C]","GPU Temperature (HW) [°C]","GPU Core Voltage [V]","GPU Fan [RPM]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Video Clock [MHz]","GPU Core Load [%]","GPU Memory Controller Load [%]","GPU Video Engine Load [%]","GPU Bus Load [%]","GPU Memory Usage [%]","GPU D3D Usage [%]","GPU Video Decode 0 Usage [%]","GPU Video Decode 1 Usage [%]","GPU Video Decode 2 Usage [%]","GPU Video Encode 0 Usage [%]","GPU Computing (Compute_0) Usage [%]","GPU Computing (Compute_1) Usage [%]","GPU VR Usage [%]","GPU Fan [%]","Total GPU Power (normalized) [% of TDP] [%]","Total GPU Power [% of TDP] [%]","GPU Memory Allocated [MB]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []",
21.1.2022,11:39:49.485,14483,2790,83.8,7661,396,95.0,12.3,1.442,1.411,1.417,1.421,4201.0,4201.0,4201.0,4201.0,100.0,4201.0,1000.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42,42,42,42,42,56,57,50,53,44,43,50,47,61,57,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,60,60,43,53.095,51.917,1.960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.3,12.00,16,16,16,39,421,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,34,41,50,21,29,34,57,45,1.216,5.040,3.376,3.296,12.192,3.376,3.168,1.008,1.184,1.096,1.032,0.336,0.936,1956,1326,35,No,No,10086,29963,33,No,No,33,No,No,42,60,97.0,No,No,36475,57446,0.1,0.0,0.1,0.159,0.000,8680,3,0.0,0.0,0.0,0.000,0.000,3,0,0.0,0.0,0.0,0.000,0.000,2487,6343,15.0,0.0,15.1,26.015,0.089,16332,15475,53,53,1.175,1380,1123.5,1502.3,540.0,1.0,0.0,0.0,0.0,68.1,2.9,0.0,0.0,0.0,0.0,2.9,0.0,0.0,37.0,38.6,30.7,1396,1363,361,8.0,1016,354,28.777,75.700,0,
21.1.2022,11:39:54.869,14486,2787,83.8,7600,457,94.3,12.2,1.418,1.408,1.393,1.442,4200.0,4200.0,4200.0,4200.0,100.0,4200.0,1000.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42,42,42,42,42,55,58,50,55,45,42,50,45,58,58,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,57,57,43,53.319,52.134,1.937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,12.00,16,16,16,39,421,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,34,42,50,21,29,34,57,46,1.232,5.040,3.376,3.296,12.192,3.376,3.168,1.016,1.184,1.096,1.032,0.336,0.936,1997,1391,35,No,No,10086,29963,33,No,No,33,No,No,42,59,97.0,No,No,36475,57446,4.8,0.0,4.8,0.464,0.000,8681,3,0.0,0.0,0.0,0.000,0.000,3,0,0.0,0.0,0.0,0.000,0.000,2487,6343,2.3,0.8,3.1,2.319,1.366,16558,15479,53,53,1.175,1350,1123.5,1502.3,540.0,1.0,0.0,0.0,0.0,68.1,3.1,0.0,0.0,0.0,0.0,2.2,0.0,0.0,37.0,38.9,31.0,1395,1362,360,8.0,1016,355,23.726,57.762,0,
21.1.2022,11:39:57.126,14519,2754,84.0,7610,447,94.4,12.2,1.425,1.420,1.406,1.406,4201.0,4201.0,4201.0,4201.0,100.0,4201.0,1000.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42,42,42,42,42,54,57,49,53,46,43,51,47,59,57,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,56,56,42,53.199,52.023,1.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.3,12.00,16,16,16,39,421,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,34,42,50,21,29,34,57,47,1.232,5.040,3.376,3.296,12.192,3.376,3.168,1.008,1.184,1.096,1.024,0.336,0.936,1956,1393,35,No,No,10086,29963,33,No,No,33,No,No,42,60,97.0,No,No,36475,57446,7.2,0.0,7.2,0.233,0.001,8682,3,0.0,0.0,0.0,0.000,0.000,3,0,0.0,0.0,0.0,0.000,0.000,2487,6343,6.2,0.1,6.2,5.584,0.301,16570,15480,53,53,1.175,1380,1123.5,1502.3,540.0,2.0,1.0,0.0,1.0,68.8,4.9,0.0,0.0,0.0,0.0,3.0,0.0,0.0,37.0,39.1,31.3,1410,1377,359,8.0,1016,355,21.185,55.045,0,
21.1.2022,11:39:59.385,14508,2765,83.9,7606,451,94.3,12.2,1.406,1.429,1.421,1.421,4200.0,4200.0,4200.0,4200.0,100.0,4200.0,1000.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42,42,42,42,42,54,57,50,54,46,43,50,46,55,57,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,56,56,43,53.043,51.847,1.947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,12.00,16,16,16,39,421,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,34,42,50,21,29,34,57,46,1.232,5.040,3.376,3.296,12.192,3.376,3.168,1.008,1.184,1.096,1.024,0.336,0.936,1953,1406,35,No,No,10086,29963,33,No,No,33,No,No,42,61,97.0,No,No,36475,57446,0.2,0.0,0.2,0.381,0.000,8683,3,0.0,0.0,0.0,0.000,0.000,3,0,0.0,0.0,0.0,0.000,0.000,2487,6343,0.4,0.1,0.5,1.195,0.982,16572,15482,53,53,1.175,1380,1123.5,1502.3,540.0,2.0,1.0,0.0,0.0,68.7,3.6,0.0,0.0,0.0,0.0,2.3,0.0,0.0,37.0,38.9,31.0,1407,1375,359,8.0,1016,355,28.081,65.540,0,
21.1.2022,11:40:1.659,14545,2728,84.2,7626,431,94.6,12.2,1.418,1.419,1.432,1.437,4199.0,4199.0,4199.0,4199.0,100.0,4199.0,999.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42,42,42,42,42,54,55,52,55,46,45,48,45,56,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,56,56,43,52.851,51.671,1.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1199.7,12.00,16,16,16,39,421,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,34,42,50,21,29,34,56,45,1.216,5.040,3.376,3.296,12.192,3.376,3.168,1.016,1.184,1.096,1.024,0.336,0.936,2000,1340,35,No,No,10086,29963,33,No,No,33,No,No,42,61,97.0,No,No,36475,57446,3.3,0.0,3.3,0.232,0.003,8683,3,0.0,0.0,0.0,0.000,0.000,3,0,0.0,0.0,0.0,0.000,0.000,2487,6343,0.4,0.1,0.5,1.027,0.280,16575,15482,53,53,1.175,1380,1123.5,1502.3,540.0,4.0,1.0,0.0,1.0,69.2,5.3,0.0,0.0,0.0,0.0,2.9,0.0,0.0,37.0,39.8,32.5,1416,1384,361,8.0,1016,355,30.137,53.921,0,
21.1.2022,11:40:3.926,14528,2745,84.1,7625,432,94.6,12.2,1.408,1.429,1.416,1.419,4196.9,4196.9,4196.9,4196.9,99.9,4196.9,999.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42,42,42,42,42,54,60,51,55,46,40,49,45,57,60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,59,59,43,52.505,51.322,1.963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1199.1,12.00,16,16,16,39,421,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,34,42,50,21,29,34,57,45,1.232,5.040,3.376,3.296,12.288,3.376,3.168,1.008,1.184,1.096,1.032,0.336,0.936,1976,1352,35,No,No,10086,29963,33,No,No,33,No,No,42,61,97.0,No,No,36475,57446,7.3,0.0,7.3,0.232,0.000,8684,3,0.0,0.0,0.0,0.000,0.000,3,0,0.0,0.0,0.0,0.000,0.000,2487,6343,0.2,0.1,0.3,0.594,0.395,16576,15483,53,53,1.175,1380,1123.5,1502.3,540.0,6.0,2.0,0.0,2.0,69.3,4.8,0.0,0.0,0.0,0.0,3.2,0.0,0.0,37.0,39.8,32.1,1419,1386,361,8.0,1016,355,18.770,54.865,0,
21.1.2022,11:40:6.183,14499,2774,83.9,7624,434,94.6,12.2,1.394,1.427,1.411,1.424,4199.0,4199.0,4199.0,4199.0,100.0,4199.0,999.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42,42,42,42,42,56,56,52,57,44,44,48,43,56,57,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,57,57,42,52.471,51.302,1.953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1199.7,12.00,16,16,16,39,421,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,34,42,50,21,29,34,56,45,1.232,5.040,3.376,3.312,12.192,3.376,3.168,1.008,1.184,1.096,1.024,0.336,0.936,1976,1326,35,No,No,10086,29963,33,No,No,33,No,No,42,59,97.0,No,No,36475,57446,0.1,0.0,0.1,0.234,0.000,8684,3,0.0,0.0,0.0,0.000,0.000,3,0,0.0,0.0,0.0,0.000,0.000,2487,6343,0.7,0.1,0.8,0.292,0.238,16576,15484,53,53,1.175,1380,1123.5,1502.3,540.0,2.0,1.0,0.0,0.0,68.7,4.2,0.0,0.0,0.0,0.0,3.5,0.0,0.0,37.0,38.9,31.2,1408,1375,359,8.0,1016,355,13.066,62.691,0,
21.1.2022,11:40:8.440,14497,2776,83.9,7610,447,94.4,12.2,1.433,1.437,1.430,1.419,4200.0,4200.0,4200.0,4200.0,100.0,4200.0,1000.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42,42,42,42,42,54,58,51,56,46,42,49,44,58,58,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,58,58,43,52.460,51.273,1.979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,12.00,16,16,16,39,421,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,34,42,50,21,29,34,56,46,1.232,5.040,3.376,3.312,12.192,3.376,3.168,1.016,1.184,1.096,1.032,0.336,0.936,2027,1369,35,No,No,10086,29963,33,No,No,33,No,No,42,60,97.0,No,No,36475,57446,0.0,0.0,0.0,0.000,0.000,8684,3,0.0,0.0,0.0,0.000,0.000,3,0,0.0,0.0,0.0,0.000,0.000,2487,6343,1.3,0.1,1.4,2.268,0.103,16581,15484,53,53,1.175,1380,1123.5,1502.3,540.0,2.0,0.0,0.0,0.0,68.9,5.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,37.0,38.8,30.9,1411,1378,361,8.0,1016,355,35.089,23.626,0,
21.1.2022,11:40:10.705,14494,2779,83.9,7601,456,94.3,12.2,1.429,1.419,1.421,1.398,4200.0,4200.0,4200.0,4200.0,100.0,4200.0,1000.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42,42,42,42,42,56,59,52,55,44,41,48,45,58,59,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,57,57,42,52.913,51.746,1.957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,12.00,16,16,16,39,421,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,34,42,50,21,29,34,57,46,1.216,5.040,3.376,3.296,12.192,3.376,3.168,1.016,1.184,1.096,1.024,0.336,0.936,2002,1359,35,No,No,10086,29963,33,No,No,33,No,No,42,59,97.0,No,No,36475,57446,2.1,0.0,2.1,0.551,0.000,8685,3,0.0,0.0,0.0,0.000,0.000,3,0,0.0,0.0,0.0,0.000,0.000,2487,6343,1.1,0.0,1.1,1.625,0.096,16585,15484,55,54,1.175,1380,1123.5,1502.3,540.0,40.0,19.0,0.0,1.0,69.0,12.3,0.0,0.0,0.0,0.0,4.7,0.0,0.0,37.0,58.5,55.9,1413,1380,361,8.0,1016,356,25.512,222.595,0,
21.1.2022,11:40:12.985,14497,2776,83.9,7610,447,94.4,12.2,1.423,1.432,1.426,1.418,4200.0,4200.0,4200.0,4200.0,100.0,4200.0,1000.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42,42,42,42,42,55,57,50,57,45,43,50,43,58,57,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,57,57,43,53.078,51.877,1.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,12.00,16,16,16,39,421,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,34,42,50,21,29,34,58,46,1.232,5.040,3.376,3.312,12.192,3.376,3.168,1.008,1.184,1.096,1.032,0.336,0.944,1956,1386,35,No,No,10086,29963,33,No,No,33,No,No,42,58,97.0,No,No,36475,57446,7.7,0.0,7.7,0.465,0.000,8686,3,0.0,0.0,0.0,0.000,0.000,3,0,0.0,0.0,0.0,0.000,0.000,2487,6343,0.4,0.2,0.5,1.539,0.149,16588,15484,54,53,1.175,1380,1123.5,1502.3,540.0,3.0,1.0,0.0,1.0,68.7,29.4,0.0,0.0,0.0,0.0,8.5,0.0,0.0,38.0,39.1,31.4,1408,1375,360,8.0,1017,356,35.182,239.495,0,
